Iteraciones => 2000
0.7000000000000001 88.83323493259459  13806
0.71 88.83354855437253  13385
0.72 88.8334208311076  13320
0.73 88.83380977024383  13789
0.74 88.83334669943076  13590
0.75 88.83337660134856  13494
0.76 88.83338425385816  14237
0.77 88.83253915475905  14247
0.78 88.83179457248869  14174
0.79 88.83376142484806  13749
0.8 88.83438442415779  14064

Iteraciones => 4000
0.7000000000000001 88.8330760115126  27757
0.71 88.83129778092867  31505
0.72 88.83312206232118  27574
0.73 88.83252703921572  26739
0.74 88.83277399938429  31978
0.75 88.83322132942735  34530
0.76 88.83310609089656  26944
0.77 88.83302055204649  44405
0.78 88.83357821845202  30365
0.79 88.83310999943325  28266
0.8 88.83361312099967  27228

Iteraciones => 8000
0.7000000000000001 88.83302574762511  53800
0.71 88.83298881572286  54533
0.72 88.83318251750278  64317
0.73 88.83279282366834  58686
0.74 88.83302458855212  62225
0.75 88.83331207484065  58482
0.76 88.83197920490255  59101
0.77 88.8322872048994  59201
0.78 88.8336871220396  55943
0.79 88.83278287485318  55031
0.8 88.83306110873882  54545

Iteraciones => 16000
0.7000000000000001 88.83220225403194  112400
0.71 88.83203230971795  115422
0.72 88.8321621271073  109447
0.73 88.83214907421954  109612
0.74 88.832365007211  118543
0.75 88.83218515022023  138565
0.76 88.83279787538801  359717
0.77 88.83275527395857  145811
0.78 88.83320978360824  119883
0.79 88.83294555211408  123221
0.8 88.83268569761384  110088

Iteraciones => 32000
0.7000000000000001 88.83108166330409  231667
0.71 88.83147693371288  221343
0.72 88.8315401418979  238436
0.73 88.83180003911991  239701
0.74 88.83220585330554  249362
0.75 88.83109461160609  219975
0.76 88.83239898864446  219148
0.77 88.83165035171554  219846
0.78 88.83288593056925  218540
0.79 88.83173616393661  228521
0.8 88.8321274710738  224466
