Iteraciones => 2000
0.7000000000000001 88.83272896254512  13817
0.7010000000000001 88.83354641340081  14061
0.7020000000000001 88.83320667039295  15265
0.7030000000000001 88.83335740759232  14405
0.704 88.8336822003183  14021
0.705 88.83466872006018  13878
0.706 88.83343576357804  13479
0.707 88.83200479507275  13406
0.708 88.83324688082794  14243
0.709 88.83292600484376  13689
0.71 88.83227047376153  13702

Iteraciones => 4000
0.7000000000000001 88.83313978577621  27328
0.7010000000000001 88.8334546733103  28181
0.7020000000000001 88.83234512065573  29680
0.7030000000000001 88.83389471957783  32463
0.704 88.8326714754288  30360
0.705 88.83268677681667  27876
0.706 88.83233322863327  29984
0.707 88.83298742350847  27317
0.708 88.8342045517916  27641
0.709 88.83251864597213  27824
0.71 88.8320966583159  31237

Iteraciones => 8000
0.7000000000000001 88.83232370248291  56869
0.7010000000000001 88.83290321044518  64918
0.7020000000000001 88.8315591729554  60230
0.7030000000000001 88.83256935218108  57954
0.704 88.83280073930977  56546
0.705 88.83287496403942  59893
0.706 88.83301748597698  59686
0.707 88.8331421972156  64321
0.708 88.83277643447383  62046
0.709 88.83275176753862  59728
0.71 88.832504335436  57770

Iteraciones => 16000
0.7000000000000001 88.83263276806696  132473
0.7010000000000001 88.83284319228383  109439
0.7020000000000001 88.83144970931718  110701
0.7030000000000001 88.83250153957572  110338
0.704 88.83244407628683  112069
0.705 88.83262609060486  111252
0.706 88.83258880825272  111682
0.707 88.83242473146665  110387
0.708 88.8325886235389  108478
0.709 88.83297857238135  107360
0.71 88.83282841236105  108071

Iteraciones => 32000
0.7000000000000001 88.83222746977472  217430
0.7010000000000001 88.83206251616444  216672
0.7020000000000001 88.83206570910184  224667
0.7030000000000001 88.8324836178256  242650
0.704 88.83209664955065  228063
0.705 88.83192796928887  232329
0.706 88.8324421826602  232590
0.707 88.83195198821537  318220
0.708 88.83284390749995  232825
0.709 88.8323345336257  218002
0.71 88.83207239644929  216570
